n. a place to which somebody is going,destination /ˌdestɪˈneɪʃn/
"number 1,000,000",million /ˈmɪljən/
adj. very surprising,amazing /əˈmeɪzɪŋ/
adj. important in history,historic /hɪˈstɒrɪk/
"n. a place where a building, town, etc. is located",site /saɪt/
adj. that used to exist,former /ˈfɔːmə(r)/
n. poems in general,poetry /ˈpəʊətri/
n. the important facts that support something,basis /ˈbeɪsɪs/
n. the place where kings and queens live,court /kɔːt/
"adv. in the beginning, before other things happened",originally /əˈrɪdʒənəli/
n. protection against attack,defence /dɪˈfens/
adv. at the present time,nowadays /ˈnaʊədeɪz/
n. what you can see from a place,view /vjuː/
n. a thought of something that you remember from the past,memory /ˈmeməri/
v. to give something to help somebody；to increase or improve something,contribute /kənˈtrɪbjuːt/
adj. connected with science,scientific /ˌsaɪənˈtɪfɪk/
v. to respect somebody / something for some reason,admire /ədˈmaɪə(r)/
"n. a figure of a person or an animal in stone, metal, etc.",statue /ˈstætʃuː/
adj. expensive,fancy /ˈfæntsi/
"n. something important, interesting or typical of a place or thing",feature /ˈfiːtʃə(r)/
n. level of importance；the place where somebody / something is located,position /pəˈzɪʃn/
n. a time when a particular situation makes it possible to do or achieve something,opportunity /ˌɒpəˈtjuːnəti/
"n. a system for carrying people or goods from one place to another using vehicles, roads, etc.",transport /ˈtrænspɔːt/
v. to make somebody sad because something that they hope for does not happen,disappoint /ˌdɪsəˈpɔɪnt/
n. the way in which the parts of something are connected together,structure /ˈstrʌktʃə(r)/
"n. a work of art that is a solid figure or object made by carving or shaping wood, stone, clay, metal, etc.",sculpture /ˈskʌlptʃə(r)/
n. an object used for fighting or attacking somebody,weapon /ˈwepən/
adj. having a lot of people,crowded /ˈkraʊdɪd/
v. to show that something is true or exists,indicate /ˈɪndɪkeɪt/
adv. at a later time; after an event that has already been mentioned,afterwards /ˈɑːftəwədz/
"adv. in or towards the centre of a city, especially its main business area",downtown /ˌdaʊnˈtaʊn/
n. a particular point of time,moment /ˈməʊmənt/
n. a flat paper container used for sending letters in,envelope /ˈenvələʊp/
n. a place where you can buy drinks and simple meals,café /ˈkæfeɪ/
v. to show formally which plan or idea you are for or against,vote /vəʊt/
v. to talk in a friendly informal way to somebody；n. a friendly informal conversation,chat /tʃæt/
adv. not in or to any place,nowhere /ˈnəʊweə(r)/
"adj. shy or ashamed, especially in a social situation",embarrassed /ɪmˈbærəst/
adj. feeling greatly surprised,shocked /ʃɒkt/
"n. your feelings or thoughts about somebody / something, rather than a fact",opinion /əˈpɪnjən/
n. a personal record that somebody puts on their website,blog /blɒɡ/
v. to make a place your home,settle /ˈsetl/
n. an unusual or dangerous experience,adventure /ədˈventʃə(r)/
adj. having a lot of energy,energetic /ˌenəˈdʒetɪk/
n. the point from which something starts,origin /ˈɒrɪdʒɪn/
n. a large area of dry land covered by sand,desert /ˈdezət/
"n. a door, gate, etc. used for entering a place",entrance /ˈentrəns/
n. a fight between armies,battle /ˈbætl/
adv. used to give a total number or amount,altogether /ˌɔːltəˈɡeðə(r)/
be owned by somebody,belong to
because of the possibility of something happening,in case
far away but still able to be seen,in the distance
different kinds of,a variety of
the most important minister and leader of the government in some countries,prime minister
